customer_id,registration_date,location,ip_address,is_fraudster,fraud_type
CUST_000000,2025-04-09,Hallhaven,176.147.2.60,False,
CUST_000001,2025-03-21,Sarahhaven,54.251.48.19,False,
CUST_000002,2023-10-15,Lake Sarahview,76.149.231.150,False,
CUST_000003,2025-04-01,Andersonton,139.167.148.228,False,
CUST_000004,2024-04-01,Sallyhaven,44.113.232.5,False,
CUST_000005,2025-06-15,Reneeberg,34.29.1.129,False,
CUST_000006,2023-10-24,West Morganberg,42.26.68.42,True,fake_tracking
CUST_000007,2024-08-11,East Erin,93.105.88.238,False,
CUST_000008,2025-06-25,Kelliland,197.111.219.167,False,
CUST_000009,2023-12-12,Santosmouth,131.77.96.18,False,
CUST_000010,2025-01-12,Hornemouth,84.250.221.34,True,fake_tracking
CUST_000011,2023-09-08,East Jacqueline,110.152.6.193,False,
CUST_000012,2024-06-21,Heatherport,42.202.178.3,False,
CUST_000013,2023-08-23,Montesburgh,103.143.78.113,False,
CUST_000014,2024-07-03,New Melissaside,67.185.55.14,False,
CUST_000015,2024-03-01,Penningtonberg,98.97.198.214,False,
CUST_000016,2024-04-13,North Shannonport,178.196.144.232,False,
CUST_000017,2024-10-18,Michaelville,171.16.0.60,False,
CUST_000018,2025-05-28,Kurtburgh,215.239.182.70,False,
CUST_000019,2024-05-02,Josephmouth,120.232.123.72,False,
CUST_000020,2023-11-13,New John,194.84.253.17,False,
CUST_000021,2024-07-03,Carlaland,59.99.44.44,False,
CUST_000022,2023-11-24,Port Kendraside,190.211.15.18,False,
CUST_000023,2025-01-18,South Melissaville,65.63.139.102,False,
CUST_000024,2024-10-05,West Ruben,147.90.80.190,False,
CUST_000025,2024-01-13,Port Roberto,185.145.140.71,False,
CUST_000026,2025-06-06,Steveport,139.216.136.65,False,
CUST_000027,2023-09-05,East Daniel,16.44.178.44,False,
CUST_000028,2024-06-16,North Philip,100.18.46.200,True,excessive_returner
CUST_000029,2025-04-11,Valdezfort,192.196.241.34,False,
CUST_000030,2024-10-10,South Nicolefurt,159.224.3.75,False,
CUST_000031,2025-06-19,Lake Daniellebury,178.53.24.237,True,wardrobing
CUST_000032,2024-06-12,Alyssaview,170.221.251.102,False,
CUST_000033,2023-08-20,South Jasonmouth,7.134.217.160,False,
CUST_000034,2024-06-19,West Yesenia,212.217.138.18,False,
CUST_000035,2024-10-06,Thomasland,182.43.138.216,True,fake_tracking
CUST_000036,2025-04-21,Ramosstad,169.104.77.93,False,
CUST_000037,2025-04-15,East Lisa,102.204.141.206,False,
CUST_000038,2023-12-10,East Ericview,163.48.75.222,False,
CUST_000039,2024-03-16,Mariafort,79.2.139.2,False,
CUST_000040,2024-07-18,East Ryanfort,166.238.171.140,False,
CUST_000041,2024-11-12,Bruceton,144.149.208.246,False,
CUST_000042,2023-11-01,East Matthewchester,61.149.157.175,False,
CUST_000043,2024-05-15,Howardton,87.56.184.245,False,
CUST_000044,2023-12-22,Jeffreychester,78.242.204.108,False,
CUST_000045,2024-06-26,Cookberg,47.11.3.170,False,
CUST_000046,2024-08-17,North Judith,82.175.217.183,False,
CUST_000047,2023-12-27,Derektown,206.248.0.16,True,empty_box
CUST_000048,2024-07-10,Port Ryanton,23.194.210.250,False,
CUST_000049,2024-03-05,Josephbury,131.113.219.158,False,
CUST_000050,2024-08-17,Lake Greg,178.42.43.202,False,
CUST_000051,2025-01-23,New Kevin,115.54.109.185,False,
CUST_000052,2024-05-06,Wilkersonmouth,107.46.121.116,False,
CUST_000053,2023-12-07,Port Brooke,66.161.122.63,True,excessive_returner
CUST_000054,2025-02-07,Loganberg,211.170.230.47,False,
CUST_000055,2023-11-29,East Caroline,109.234.152.14,False,
CUST_000056,2025-05-26,South Davidside,223.18.98.152,False,
CUST_000057,2025-03-10,New Michaelfurt,126.134.247.252,False,
CUST_000058,2024-11-16,New Leeview,76.7.53.98,False,
CUST_000059,2023-11-24,Brianland,167.131.20.62,False,
CUST_000060,2025-06-14,New Alicia,8.123.1.109,False,
CUST_000061,2023-12-25,North Angelica,187.5.91.72,False,
CUST_000062,2024-08-29,South Pamelaberg,101.232.216.117,False,
CUST_000063,2025-05-06,Raymondbury,33.166.77.92,False,
CUST_000064,2023-12-12,Carolynport,145.197.85.152,False,
CUST_000065,2024-05-13,Port Danielle,52.183.135.34,True,wardrobing
CUST_000066,2025-06-26,Archermouth,114.224.207.65,False,
CUST_000067,2025-02-14,Wallermouth,101.69.231.176,False,
CUST_000068,2025-01-23,East Kellyside,157.50.145.198,True,excessive_returner
CUST_000069,2024-01-02,North Rodneymouth,56.154.86.133,False,
CUST_000070,2025-07-10,Cooperview,103.150.102.175,False,
CUST_000071,2025-06-08,Lake Patriciahaven,121.173.24.12,False,
CUST_000072,2024-05-12,East Jenniferhaven,108.11.254.217,False,
CUST_000073,2025-06-11,East Jackfort,111.40.175.177,False,
CUST_000074,2024-04-25,Cynthiamouth,170.131.71.217,False,
CUST_000075,2025-04-21,Denisemouth,99.157.30.217,False,
CUST_000076,2024-12-04,North Keith,180.222.166.217,False,
CUST_000077,2024-04-13,East Monicaville,109.240.21.113,False,
CUST_000078,2025-07-23,Vasquezberg,202.80.232.178,True,excessive_returner
CUST_000079,2025-07-18,West Kara,204.55.226.109,False,
CUST_000080,2025-01-08,Davidtown,51.220.253.113,False,
CUST_000081,2024-01-28,Samanthaburgh,208.220.132.206,False,
CUST_000082,2024-02-21,New Patrick,81.29.4.126,False,
CUST_000083,2024-02-10,Henryfort,83.113.38.48,False,
CUST_000084,2025-03-16,Jenniferhaven,94.108.67.103,False,
CUST_000085,2024-04-14,East Whitneyside,65.188.43.227,False,
CUST_000086,2024-08-15,Pollardmouth,116.6.130.88,False,
CUST_000087,2024-08-16,Port Kelli,142.56.218.127,False,
CUST_000088,2025-06-29,North Davidview,192.192.123.242,False,
CUST_000089,2024-11-26,Port Andre,98.186.15.213,False,
CUST_000090,2023-09-10,Samanthaview,24.46.32.229,False,
CUST_000091,2025-07-18,East Linda,32.38.15.69,False,
CUST_000092,2025-04-15,Brownville,126.188.145.243,False,
CUST_000093,2025-04-04,East Lisaburgh,52.5.208.124,True,wardrobing
CUST_000094,2024-02-05,East Alextown,168.169.134.193,False,
CUST_000095,2024-08-07,Johnfurt,12.62.127.19,False,
CUST_000096,2024-02-23,New David,157.178.180.222,False,
CUST_000097,2024-03-03,New Amy,60.205.143.208,False,
CUST_000098,2025-04-03,West Coryland,39.205.159.212,False,
CUST_000099,2025-03-06,South Kara,62.183.253.49,False,
CUST_000100,2025-06-07,East Morgan,153.128.131.25,False,
CUST_000101,2024-03-30,Lake Donnahaven,45.84.246.79,False,
CUST_000102,2023-11-14,Grantton,15.151.92.237,False,
CUST_000103,2023-09-12,North Stevenmouth,185.244.199.143,False,
CUST_000104,2024-01-02,New Javierborough,173.72.48.184,False,
CUST_000105,2024-06-27,Port Bradleyside,100.135.121.1,False,
CUST_000106,2024-08-08,Curtisside,101.177.52.62,False,
CUST_000107,2024-08-08,East Danny,60.124.71.138,False,
CUST_000108,2023-11-05,Stevenfort,40.200.230.21,False,
CUST_000109,2024-12-08,Jonathanview,110.111.226.148,False,
CUST_000110,2023-10-08,Tapiaport,76.26.67.38,False,
CUST_000111,2024-09-30,East Bryanchester,155.64.136.218,False,
CUST_000112,2024-07-26,East Chelseafurt,206.76.17.125,False,
CUST_000113,2025-07-23,North Lisa,161.150.219.225,False,
CUST_000114,2025-05-05,Schroederland,82.154.181.23,False,
CUST_000115,2024-11-12,Port Jessica,119.131.67.153,False,
CUST_000116,2025-02-23,Port Sandy,194.207.248.77,False,
CUST_000117,2024-03-22,South Maryfurt,45.37.159.231,False,
CUST_000118,2024-05-22,Justinmouth,168.156.98.78,False,
CUST_000119,2023-10-01,Alexishaven,45.122.215.188,False,
CUST_000120,2024-05-18,West Richard,115.73.81.220,True,wardrobing
CUST_000121,2023-10-04,Lake Amandaview,67.18.177.134,False,
CUST_000122,2024-05-19,Lake Krista,13.245.37.221,True,fake_tracking
CUST_000123,2025-01-26,Sarahtown,40.135.123.154,False,
CUST_000124,2023-10-20,Garciafurt,53.189.14.164,False,
CUST_000125,2024-06-01,Christinemouth,75.182.109.27,False,
CUST_000126,2023-11-03,Williamton,129.113.78.224,False,
CUST_000127,2025-05-22,West Jose,57.239.174.51,False,
CUST_000128,2025-06-23,Charlenemouth,104.89.219.172,False,
CUST_000129,2025-07-04,North Heather,8.54.88.47,False,
CUST_000130,2024-04-11,West Scott,89.239.220.221,False,
CUST_000131,2024-05-12,North Joshua,197.128.119.254,False,
CUST_000132,2024-02-29,East Johnview,82.144.79.44,True,empty_box
CUST_000133,2025-05-26,Stuartville,199.5.127.77,False,
CUST_000134,2024-07-03,Mathewsfort,55.130.52.80,False,
CUST_000135,2024-03-01,New Tammy,160.158.191.22,False,
CUST_000136,2025-03-18,Michaelburgh,20.206.102.104,False,
CUST_000137,2025-05-15,Port Kathleenchester,1.86.228.82,False,
CUST_000138,2024-07-10,Port Thomasburgh,213.193.15.5,True,wardrobing
CUST_000139,2024-08-25,Nealberg,218.73.124.209,False,
CUST_000140,2025-03-02,East Paul,80.251.37.41,False,
CUST_000141,2024-06-21,Alexandrafurt,66.46.60.228,True,fake_tracking
CUST_000142,2024-09-14,Theresashire,15.249.243.55,False,
CUST_000143,2025-06-06,South Kevinfort,118.208.183.221,False,
CUST_000144,2024-03-21,Buchananport,34.116.64.126,False,
CUST_000145,2023-11-11,Lake Allison,118.56.102.140,False,
CUST_000146,2024-06-27,Katiefort,175.154.103.52,False,
CUST_000147,2025-01-02,Danieltown,173.14.36.225,False,
CUST_000148,2025-04-24,New Christopher,96.191.141.117,False,
CUST_000149,2025-07-12,East Ashleymouth,143.205.123.233,False,
CUST_000150,2023-10-30,Aliberg,42.85.120.62,False,
CUST_000151,2025-03-01,Taylorstad,71.182.37.158,False,
CUST_000152,2023-12-14,Haasstad,191.226.212.60,False,
CUST_000153,2023-09-15,Smithberg,112.43.157.128,False,
CUST_000154,2024-04-09,North Kellyport,166.20.214.129,False,
CUST_000155,2024-07-17,East Matthewton,27.107.189.6,False,
CUST_000156,2024-07-26,Watkinsfurt,57.40.51.108,True,wardrobing
CUST_000157,2024-01-31,Rebeccafurt,104.99.101.206,False,
CUST_000158,2023-10-04,Salinasmouth,30.186.78.37,False,
CUST_000159,2025-05-23,Richardville,57.104.43.5,False,
CUST_000160,2024-12-21,New Jennifer,58.232.184.4,False,
CUST_000161,2024-05-12,Drewton,109.211.159.14,False,
CUST_000162,2023-11-23,Tiffanyborough,68.255.196.225,False,
CUST_000163,2025-07-20,New David,90.23.19.45,False,
CUST_000164,2025-05-16,Cynthiahaven,53.166.81.177,False,
CUST_000165,2025-07-29,Jamesport,187.7.137.237,False,
CUST_000166,2024-09-05,North Crystal,70.4.37.40,True,wardrobing
CUST_000167,2024-10-07,Ellisonshire,191.87.96.239,False,
CUST_000168,2025-07-28,Dickersonton,70.193.105.150,False,
CUST_000169,2024-10-17,Davidport,105.133.41.24,False,
CUST_000170,2024-12-15,New Jenniferchester,206.84.48.42,False,
CUST_000171,2023-09-02,Krauseport,147.173.160.228,False,
CUST_000172,2024-01-17,Walkerburgh,40.106.240.255,False,
CUST_000173,2024-05-19,North Lauraport,189.136.221.143,False,
CUST_000174,2024-07-09,Davidview,45.215.157.209,False,
CUST_000175,2024-04-20,Sandramouth,162.48.43.146,False,
CUST_000176,2025-06-16,Davidtown,119.210.211.197,False,
CUST_000177,2023-11-18,Alexismouth,144.244.139.192,False,
CUST_000178,2024-09-09,North Briana,116.250.205.196,False,
CUST_000179,2024-10-07,New Robert,42.21.217.201,False,
CUST_000180,2023-08-23,Keithberg,192.195.64.135,False,
CUST_000181,2024-02-29,West Charles,183.200.98.42,True,fake_tracking
CUST_000182,2024-08-16,New Sandrashire,17.199.135.252,False,
CUST_000183,2025-08-10,Port Ashleystad,178.108.47.171,False,
CUST_000184,2023-11-16,Gordonport,142.183.215.36,False,
CUST_000185,2024-07-31,West Stephaniefort,160.44.102.250,False,
CUST_000186,2025-07-27,Crystaltown,34.12.135.176,False,
CUST_000187,2024-01-07,North Michaelhaven,122.188.187.8,False,
CUST_000188,2024-02-04,Lake Lauren,17.18.131.5,False,
CUST_000189,2023-11-08,Navarrofort,130.153.241.221,False,
CUST_000190,2024-06-20,East Annaberg,191.190.60.126,False,
CUST_000191,2024-02-24,New Bonnie,70.19.34.144,False,
CUST_000192,2025-01-25,Robinsonshire,65.190.23.66,False,
CUST_000193,2025-05-20,Anthonyberg,145.89.160.244,False,
CUST_000194,2023-09-29,Castilloborough,143.90.235.253,False,
CUST_000195,2023-09-23,Port Suzanne,196.18.10.91,False,
CUST_000196,2024-07-20,Kristieshire,141.101.81.72,False,
CUST_000197,2025-05-26,Lake Jeffreymouth,74.57.143.97,False,
CUST_000198,2023-08-19,Lake Julie,169.20.40.170,False,
CUST_000199,2025-01-26,East Kristen,25.207.235.134,False,
CUST_000200,2024-08-20,West Deborah,112.205.124.205,False,
CUST_000201,2025-06-06,South Josephhaven,59.120.156.183,False,
CUST_000202,2024-10-21,Owensview,172.177.12.158,False,
CUST_000203,2025-04-01,Lake Meganstad,160.177.10.251,False,
CUST_000204,2025-04-26,New Pamela,194.188.112.125,False,
CUST_000205,2024-01-21,Keithbury,194.219.187.136,True,empty_box
CUST_000206,2024-04-30,Palmerchester,136.62.116.8,False,
CUST_000207,2024-12-25,Christophermouth,91.119.162.36,False,
